source_short_name,label,svg_group_id,candidate_ontology_id,candidate_ontology_ids,x,y,width,height,source_attributes,confidence,notes
RH4-C,RH4-C,svg_284_6,,[],1108.697120734981,385.2677174335072,,,"{""data-filter"":""RH4-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_284_6""}",0.12,no canonical ontology alias match found
RH6-C,RH6-C,svg_286_6,,[],1108.697120734981,275.2677174335072,,,"{""data-filter"":""RH6-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_286_6""}",0.12,no canonical ontology alias match found
RH7-C,RH7-C,svg_288_6,,[],1108.697120734981,220.2677174335072,,,"{""data-filter"":""RH7-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_288_6""}",0.12,no canonical ontology alias match found
RH8-C,RH8-C,svg_290_6,,[],1108.697120734981,165.2677174335072,,,"{""data-filter"":""RH8-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_290_6""}",0.12,no canonical ontology alias match found
RH5-C,RH5-C,svg_292_6,,[],1108.697120734981,330.2677174335072,,,"{""data-filter"":""RH5-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_292_6""}",0.12,no canonical ontology alias match found
RA-F,RA-F,svg_11_6,,[],750.7811579609731,250.14781106116789,,,"{""data-filter"":""RA-F"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_11_6""}",0.12,no canonical ontology alias match found
MOA-F,MOA-F,svg_361_6,,[],185.4457732007511,661.3564183252684,,,"{""data-filter"":""MOA-F"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_361_6""}",0.12,no canonical ontology alias match found
PH1-C,PH1-C,svg_35_6,,[],726.6644787442485,400.4344578124577,,,"{""data-filter"":""PH1-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_35_6""}",0.12,no canonical ontology alias match found
PH2-C,PH2-C,svg_37_6,,[],726.6644787442485,345.4344578124577,,,"{""data-filter"":""PH2-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_37_6""}",0.12,no canonical ontology alias match found
PH3-C,PH3-C,svg_39_6,,[],726.6644787442485,290.4344578124577,,,"{""data-filter"":""PH3-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_39_6""}",0.12,no canonical ontology alias match found
PH4-C,PH4-C,svg_41_6,,[],726.6644787442485,235.4344578124577,,,"{""data-filter"":""PH4-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_41_6""}",0.12,no canonical ontology alias match found
PH5-C,PH5-C,svg_194_6,,[],726.6644787442485,180.4344578124577,,,"{""data-filter"":""PH5-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_194_6""}",0.12,no canonical ontology alias match found
PH6-C,PH6-C,svg_212_6,,[],726.6644787442485,125.43445781245771,,,"{""data-filter"":""PH6-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_212_6""}",0.12,no canonical ontology alias match found
PH7-C,PH7-C,svg_214_6,,[],726.6644787442485,70.43445781245771,,,"{""data-filter"":""PH7-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_214_6""}",0.12,no canonical ontology alias match found
PH8-C,PH8-C,svg_216_6,,[],726.6644787442485,15.434457812457708,,,"{""data-filter"":""PH8-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_216_6""}",0.12,no canonical ontology alias match found
