source_short_name,ontology_id,candidate_ontology_ids,label,label_group_ids,value_group_ids,device_group_ids,image_selectors,fallback_selectors,related_node_ids,visibility_mode,confidence,notes
PH7-C,,[],PH7-C,"[""svg_214_6""]",[],"[""svg_214_6""]","[""image[href*=\""PH7-C\""]"",""image[xlink\\:href*=\""PH7-C\""]"",""image[href*=\""PH7-C\""]""]","[""g[data-filter=\""PH7-C\""]"",""[short-name=\""PH7-C\""]"",""[sname=\""PH7-C\""]"",""[data-shortname=\""PH7-C\""]"",""[data-point-short-name=\""PH7-C\""]"",""[data-filter*=\""PH7-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH7-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH7-C\\\""\""]""]","[""svg_214_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PH8-C,,[],PH8-C,"[""svg_216_6""]",[],"[""svg_216_6""]","[""image[href*=\""PH8-C\""]"",""image[xlink\\:href*=\""PH8-C\""]"",""image[href*=\""PH8-C\""]""]","[""g[data-filter=\""PH8-C\""]"",""[short-name=\""PH8-C\""]"",""[sname=\""PH8-C\""]"",""[data-shortname=\""PH8-C\""]"",""[data-point-short-name=\""PH8-C\""]"",""[data-filter*=\""PH8-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PH8-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PH8-C\\\""\""]""]","[""svg_216_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
OA-F,,[],OA-F,"[""svg_55_6""]",[],"[""svg_55_6""]","[""image[href*=\""OA-F\""]"",""image[xlink\\:href*=\""OA-F\""]"",""image[href*=\""OA-F\""]""]","[""g[data-filter=\""OA-F\""]"",""[short-name=\""OA-F\""]"",""[sname=\""OA-F\""]"",""[data-shortname=\""OA-F\""]"",""[data-point-short-name=\""OA-F\""]"",""[data-filter*=\""OA-F\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'OA-F'\""]"",""use[key-data-attr*=\""pointShortName:\\\""OA-F\\\""\""]""]","[""svg_55_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PHWL-T,,[],PHWL-T,"[""svg_299_6""]",[],"[""svg_299_6""]","[""image[href*=\""PHWL-T\""]"",""image[xlink\\:href*=\""PHWL-T\""]"",""image[href*=\""PHWL-T\""]""]","[""g[data-filter=\""PHWL-T\""]"",""[short-name=\""PHWL-T\""]"",""[sname=\""PHWL-T\""]"",""[data-shortname=\""PHWL-T\""]"",""[data-point-short-name=\""PHWL-T\""]"",""[data-filter*=\""PHWL-T\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PHWL-T'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PHWL-T\\\""\""]""]","[""svg_299_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
PHWE-T,,[],PHWE-T,"[""svg_303_6""]",[],"[""svg_303_6""]","[""image[href*=\""PHWE-T\""]"",""image[xlink\\:href*=\""PHWE-T\""]"",""image[href*=\""PHWE-T\""]""]","[""g[data-filter=\""PHWE-T\""]"",""[short-name=\""PHWE-T\""]"",""[sname=\""PHWE-T\""]"",""[data-shortname=\""PHWE-T\""]"",""[data-point-short-name=\""PHWE-T\""]"",""[data-filter*=\""PHWE-T\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'PHWE-T'\""]"",""use[key-data-attr*=\""pointShortName:\\\""PHWE-T\\\""\""]""]","[""svg_303_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
CCWL-T,,[],CCWL-T,"[""svg_491_6""]",[],"[""svg_491_6""]","[""image[href*=\""CCWL-T\""]"",""image[xlink\\:href*=\""CCWL-T\""]"",""image[href*=\""CCWL-T\""]""]","[""g[data-filter=\""CCWL-T\""]"",""[short-name=\""CCWL-T\""]"",""[sname=\""CCWL-T\""]"",""[data-shortname=\""CCWL-T\""]"",""[data-point-short-name=\""CCWL-T\""]"",""[data-filter*=\""CCWL-T\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'CCWL-T'\""]"",""use[key-data-attr*=\""pointShortName:\\\""CCWL-T\\\""\""]""]","[""svg_491_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
CCWE-T,,[],CCWE-T,"[""svg_498_6""]",[],"[""svg_498_6""]","[""image[href*=\""CCWE-T\""]"",""image[xlink\\:href*=\""CCWE-T\""]"",""image[href*=\""CCWE-T\""]""]","[""g[data-filter=\""CCWE-T\""]"",""[short-name=\""CCWE-T\""]"",""[sname=\""CCWE-T\""]"",""[data-shortname=\""CCWE-T\""]"",""[data-point-short-name=\""CCWE-T\""]"",""[data-filter*=\""CCWE-T\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'CCWE-T'\""]"",""use[key-data-attr*=\""pointShortName:\\\""CCWE-T\\\""\""]""]","[""svg_498_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RHWL-T,,[],RHWL-T,"[""svg_561_6""]",[],"[""svg_561_6""]","[""image[href*=\""RHWL-T\""]"",""image[xlink\\:href*=\""RHWL-T\""]"",""image[href*=\""RHWL-T\""]""]","[""g[data-filter=\""RHWL-T\""]"",""[short-name=\""RHWL-T\""]"",""[sname=\""RHWL-T\""]"",""[data-shortname=\""RHWL-T\""]"",""[data-point-short-name=\""RHWL-T\""]"",""[data-filter*=\""RHWL-T\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RHWL-T'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RHWL-T\\\""\""]""]","[""svg_561_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RHWE-T,,[],RHWE-T,"[""svg_563_6""]",[],"[""svg_563_6""]","[""image[href*=\""RHWE-T\""]"",""image[xlink\\:href*=\""RHWE-T\""]"",""image[href*=\""RHWE-T\""]""]","[""g[data-filter=\""RHWE-T\""]"",""[short-name=\""RHWE-T\""]"",""[sname=\""RHWE-T\""]"",""[data-shortname=\""RHWE-T\""]"",""[data-point-short-name=\""RHWE-T\""]"",""[data-filter*=\""RHWE-T\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RHWE-T'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RHWE-T\\\""\""]""]","[""svg_563_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
DA1-P,,[],DA1-P,"[""svg_119_6""]",[],"[""svg_119_6""]","[""image[href*=\""DA1-P\""]"",""image[xlink\\:href*=\""DA1-P\""]"",""image[href*=\""DA1-P\""]""]","[""g[data-filter=\""DA1-P\""]"",""[short-name=\""DA1-P\""]"",""[sname=\""DA1-P\""]"",""[data-shortname=\""DA1-P\""]"",""[data-point-short-name=\""DA1-P\""]"",""[data-filter*=\""DA1-P\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'DA1-P'\""]"",""use[key-data-attr*=\""pointShortName:\\\""DA1-P\\\""\""]""]","[""svg_119_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
