control_panel,source_visio_page,trunk_name,trunk_type,child_device,location,notes
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-1,KITCHEN/COMMISSARY 01.26.02,Additional location ref: EXEC CHEF 01.27.07
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.34,JET ICE 01.28.04,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-2,,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.25,SHOW POWER 01.29.01,Additional location ref: MARKET 01.03.05 | Additional location ref: MARKET 01.03.05
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-12,BALLROOM 01.32.04,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV-7-15,SERVICE CORRIDOR 01.32.02,Additional location ref: EVENT CONCOURSE 01.28.02
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-7,CONFERENCE 01.05.03,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-3,,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.30,GRAND HALL VESTIBULE,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.40,VESTIBULE 01.28.10,Additional location ref: BOX OFFICE/TICKET WINDOW 01.28.09
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-5,OFFICE 01.28.08,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-4,,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.24,MAIN ELEC 01.28.05,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,FCU 1.23,,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 7-6,TEAM STORE 01.29.04,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,CAREL H-2,CHAIR STORAGE 01.03.01,
CP-9,CP-9 AHU-10 (1 of 2),MS/TP Trunk-1,MS/TP,CAREL H-1,EXTERIOR ROOF,To: Area 1-D | Additional location ref: PUMP ROOM 01.28.06
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-10,ADMIN OFFICE 01.04.05,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-13,ADMIN OFFICE 01.04.07,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-9,HOTEL OFFICE 01.04.12,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-11,CONFERENCE 01.05.03,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-16,ADMIN OFFICE 01.05.04,Additional location ref: ADMIN OFFICE 01.04.05
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-14,ADMIN OFFICE 01.04.07,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-15,,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-2,STORAGE 01.06.01,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 1.35,TR 01.06.03,Additional location ref: CHAIR/COURT STORAGE 01.03.01
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-1,EVENT CONCOURSE 01.05.02,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,FCU 1.27,,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-6,BALLROOM 01.09.01,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-5,BALLROOM 01.07.03,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-4,BALLROOM 01.07.01,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10-8,BALLROOM 01.10.01,
CP-9,CP-9 AHU-10 (2 of 2),MS/TP Trunk-1,MS/TP,VAV 10.3,BALLROOM STORAGE 01.10.04,Additional location ref: SERVICE CORRIDOR 01.13.06
