Invoice List by Date,,,,,,,,
The Controls Company,,,,,,,,
"April, 2020-December, 2025",,,,,,,,

Date,Transaction type,Num,Name,Location full name,Memo,Due date,Amount,Open balance
02/27/2024,Invoice,S224.,Siemens Industry:TAFB WEG FIRE 339113,,,03/28/2024,"10,000.00",0.00
02/27/2024,Invoice,S225.,Siemens Industry:TAFB WEG GS 364281,,,03/28/2024,"10,000.00",0.00
02/29/2024,Invoice,S223.,Siemens Industry:TAFB Mobility Storage Fire 339493,,,03/30/2024,"1,500.00",0.00
03/13/2024,Invoice,S246.,Siemens Industry:NAS Hurricane Sally 3828,,,04/12/2024,"3,320.00",0.00
03/13/2024,Invoice,S230,Siemens Industry:TAFB Marina IOT 353312,,,04/12/2024,"28,000.00",0.00
03/13/2024,Invoice,S231.,Siemens Industry:TAFB WEG FIRE 339113,,,04/12/2024,"14,500.00",0.00
03/13/2024,Invoice,S232.,Siemens Industry:TAFB Marina Fire 353397,,,04/12/2024,"10,500.00",0.00
03/13/2024,Invoice,S233.,Siemens Industry:TAFB WEG BAU 337878,,,04/12/2024,"10,000.00",0.00
03/13/2024,Invoice,S234.,Siemens Industry:TAFB WEG IOT 337876,,,04/12/2024,"5,000.00",0.00
03/13/2024,Invoice,S235.,Siemens Industry:TAFB Refueler BAU,,,04/12/2024,"1,600.00",0.00
03/13/2024,Invoice,S236.,Siemens Industry:TAFB Airey Gate BAU 351377,,,04/12/2024,"3,500.00",0.00
03/13/2024,Invoice,S238.,Siemens Industry:TAFB Refueler IOT,,,04/12/2024,"1,804.00",0.00
03/13/2024,Invoice,S239.,Siemens Industry:TAFB Z8 Small Arms IOT 340592,,,04/12/2024,"17,000.00",0.00
03/13/2024,Invoice,S240.,Siemens Industry:TAFB FMS Facilities Fire 342054,,,04/12/2024,"8,000.00",0.00
03/13/2024,Invoice,S241.,Siemens Industry:TAFB Fire Truck Fire 347056,,,04/12/2024,"10,500.00",0.00
03/13/2024,Invoice,S242.,Siemens Industry:TAFB Z8 Small Arms BAU 340113,,,04/12/2024,"22,500.00",0.00
03/13/2024,Invoice,E0115,Engineered Cooling Services:IHMC,,,04/12/2024,"23,000.00",0.00
03/13/2024,Invoice,E0116,Engineered Cooling Services:Pall Corp,,,04/12/2024,"21,589.00",0.00
03/13/2024,Invoice,E0117,Engineered Cooling Services:Baptist Pershing,,,04/12/2024,"3,320.00",0.00
03/13/2024,Invoice,S243.,Siemens Industry:TAFB Mobility Storage BAU 335815,,,04/12/2024,"1,484.00",0.00
03/13/2024,Invoice,S244.,Siemens Industry:TAFB Mobility Storage Fire 339493,,,04/12/2024,"4,341.00",0.00
03/13/2024,Invoice,S245.,Siemens Industry:Spanish Fort Elementary,,,04/12/2024,"4,000.00",0.00
03/13/2024,Invoice,S247.,Siemens Industry:NAS Package 6 B3581,,,04/12/2024,844.00,0.00
03/13/2024,Invoice,S248.,Siemens Industry:Pace K-8,,,04/12/2024,"4,000.00",0.00
03/13/2024,Invoice,J108,Johnson Controls:Chart Industries,,,04/12/2024,"2,791.00",0.00
